title,artists,year,track_id,release_date,spotify.name,spotify.artists
Airborne Ranger Infantry,Kristy Lee Cook,2012,0Mrj7HAEhb2lo4dmvk0JXc,2012-10-16,Airborne Ranger Infantry,['Kristy Lee Cook']
Alarm Clock,Shinee,2012,0vmAXhoWnUsbaT69SbX3JJ,2012-03-21,Alarm Clock,['SHINee']
Albacore,Ani DiFranco,2012,3B3JT26JC46DDEbYz4dzcu,2012-01-17,Albacore,['Ani DiFranco']
Algiers,Calexico,2012,6sECoxmOxyfyVlExV2HIRb,2012-09-11,Algiers,['Calexico']
Alive,Krewella,2012,2SHnUyZq0zwmvRIl4WY77G,2012-06-18,Alive,['Krewella']
All Around The World,Justin Bieber,2012,1Mg8vLBYwizu7AuhYQO64V,2012-06-15,All Around The World,"['Justin Bieber', 'Ludacris']"
All Gold Everything,Trinidad James,2012,19K5wRn8DpOiCx6n8SFhZR,2012-11-28,All Gold Everything,['Trinidad James']
All I Have Left Is You,The Offspring,2012,2zCvytHUzL3CkeSlfrfLYI,2012-06-26,All I Have Left Is You,['The Offspring']
All I Need To Know,Thousand Foot Krutch,2012,3qwQO957WUbTw8A2Ifat4E,2012-04-17,All I Need to Know,['Thousand Foot Krutch']
All In,Flying Lotus,2012,7eWIBNEmDlIpnrrhcubpK0,2012-10-01,All In,['Flying Lotus']
All In A Family,Loudon Wainwright III,2012,4rdSbjVQg5f8geyt4gWfmY,2012-04-17,All in a Family,['Loudon Wainwright III']
All In Vain,The Vaccines,2012,61mBH898BNub9ru3LcKUfK,2012-09-03,All In Vain,['The Vaccines']
All Is Fair,Cheryl Cole,2012,1QTmt4xLgL91PiTLMldX7n,2012-01-01,All Is Fair,['Cheryl']
All Is Fair,Big Wreck,2012,2kvWmhH0p7qc5e7GcqePMe,2012-01-01,All Is Fair,['Big Wreck']
All Of Me,Estelle,2012,,,,
All Over the Road,Easton Corbin,2012,6XD3HMATLswheYevIfKkSi,2012-01-01,All Over The Road,['Easton Corbin']
All That I Want,Robbie Williams,2012,0Jm0R7hYJIdkWNvqQnnm53,2012-11-05,All That I Want,['Robbie Williams']
All That Matters (The Beautiful Life),Kesha,2012,7949ooAKks9n3EB5CesM4B,2012-11-30,All That Matters (The Beautiful Life),['Kesha']
All The Little Lights,Passenger,2012,5QrqXOTpWw4MfoDlHfCdBL,2013-02-17,All the Little Lights,['Passenger']
All the Rowboats,Regina Spektor,2012,5rSlEtSKiOYivDFChX3FRW,2012-05-25,All the Rowboats,['Regina Spektor']
All The Time,Jeremih,2012,0USZx50eApN045zIIyjePN,2013-01-01,All The Time,"['Jeremih', 'Lil Wayne', 'Natasha Mosley']"
All This Time,Britt Nicole,2012,6oUKzFleJraGH2LJsWhgfg,2012,All This Time - Pop Mix,['Britt Nicole']
All Those Friendly People,Funeral Suits,2012,5RqJrJRVZ0wdiI4yFuv3u6,2012-06-01,All Those Friendly People,['Funeral Suits']
All Too Well,Taylor Swift,2012,1q3RiD1tIWUpGsNFADMlvl,2012-10-22,All Too Well,['Taylor Swift']
All Wash Out,Edward Sharpe & the Magnetic Zeros,2012,6J1DNhkecvjjEW9tsNWR75,2012-05-29,All Wash Out,['Edward Sharpe & The Magnetic Zeros']
All We Have Is Now,The Modern Electric,2012,5s78vi4v2Qo95QbPGTWKE2,2012-12-05,All We Have Is Now,['The Modern Electric']
All Your Clothes,Martha Wainwright,2012,0fUK6eN7zol11FgdtwGixG,2012-10-15,All Your Clothes,['Martha Wainwright']
All Your Gold,Bat for Lashes,2012,2rReQXVcbiDCH59a7ZHeoI,2012-10-15,All Your Gold,['Bat For Lashes']
Allowance,Our Lady Peace,2012,4G9VChpbBIpv5jOKNHkEt1,2012-04-17,Allowance,['Our Lady Peace']
Alone Or With Friends,Tribes,2012,0lzOzarj5UYKswyUiSzFz2,2012-01-01,Alone Or With Friends,['Tribes']
Alone Together,Daley,2012,4bx93Btylz6Rl6QIOrtBV4,2012-01-01,Alone Together,"['Daley', 'Marsha Ambrosius']"
Alone With You (Maddie's Song),Ne-Yo,2012,2HkOWK5RHMw1zOZimRxLgH,2012-01-01,Alone With You (Maddie's Song),['Ne-Yo']
Alpha Omega,Architects,2012,6kPRhrZlI79vlKAy374E2M,2012-06-05,Alpha Omega,['Architects']
Alternative Power to the People,The Dandy Warhols,2012,1wpZ4dAzbi2voAnaZaDmNf,2012-04-24,Alternative Power To The People,['The Dandy Warhols']
Always Waiting,Michael Kiwanuka,2012,4cLQpjdFdKjCuPf4crxuh1,2012-01-01,Always Waiting,['Michael Kiwanuka']
Amanaemonesia,Chairlift,2012,4EI01jKoCYK0tZqgAL2RpO,2012-01-24,Amanaemonesia,['Chairlift']
Amanita,Animal Collective,2012,6PPBVjnfqKuaMn6EjjdDXb,2012-09-04,Amanita,['Animal Collective']
Amaryllis,Shinedown,2012,1V2FWYA9sLJQqjQ8BRWj7Q,2012-03-23,Amaryllis,['Shinedown']
Amen,Leonard Cohen,2012,570g2MRjY7we1R48N2fzHr,2012-03-28,Amen,['Leonard Cohen']
Amen,Meek Mill,2012,32UIpKdyGzgTPTO8e5ge5c,2012-10-26,Amen (feat. Drake),"['Meek Mill', 'Drake']"
Amen,Paper Tongues,2012,,,,
Amendment,Ani DiFranco,2012,62KrfdxFFSU3nWZen3BS1i,2012-01-17,Amendment,['Ani DiFranco']
America,Howler,2012,3RDmptJqHBzmLP2ADMe2F5,2012-01-16,America,['Howler']
America,Deuce,2012,3smUHBHcUoOjqWRq9dfBDL,2012-04-24,America,['Deuce']
American Beautiful,The Henningsens,2012,6C1BUMo3Eq3Xudv2Oo2CLr,2013-05-27,American Beautiful,['The Henningsens']
American Heart,Faith Hill,2012,2yPFfoT04AIb5Ak4r1NdHr,2012-10-02,American Heart,['Faith Hill']
American Steel,Soulfly,2012,7blnGomUG8PcSSBuqixFmi,2012-03-09,American Steel,['Soulfly']
Amerigo,Patti Smith,2012,1tZ4JHHtnELQC3smRIkJ2q,2012-06-01,Amerigo,['Patti Smith']
Amsterdam,Rick Ross,2012,4duKSDnLGdvwJ5yxDNhPmj,2012-01-01,Amsterdam,['Rick Ross']
Amy,Green Day,2012,7mjLvFRhiMfvEJiBOLDZkB,2012-11-13,Amy,['Green Day']
Analog Man,Joe Walsh,2012,11CK9ToNAdYPI15q2Jkp2D,2012-01-01,Analog Man,['Joe Walsh']
Anastasia,Slash,2012,7JJ22vCP45tMhZnAH4Sp1e,2012-01-01,Anastasia,"['Slash', 'Myles Kennedy And The Conspirators']"
Andrew In Drag,Magnetic Fields,2012,5ehMCdeOhsgsx25M6wAEzu,2012-03-06,Andrew in Drag,['The Magnetic Fields']
André,JoJo,2012,,,,
Angel,Gordon Bahary,2012,,,,
Angel,Sarah Brightman,2012,4ONd4j4MRfz48gpi2hjYuQ,2012-10-16,Angel,['Sarah Brightman']
Angels,The xx,2012,3zsRP8rH1kaIAo9fmiP4El,2012-09-10,Angels,['The xx']
Angels & Stars,Eric Turner,2012,4oe86opYEkOklKITVFiNyp,2012-01-01,Angels & Stars - Ishi Rock Re-Edit,"['Eric Turner', 'Lupe Fiasco', 'Tinie Tempah']"
Animal,Conor Maynard,2012,690DtfFHFhizuE0rbQslzz,2012-10-31,Animal,['Conor Maynard']
Animal Skins,Dry the River,2012,1UPsIlZ1LJPSDrNWpbD3PQ,2012-03-05,Animal Skins,['Dry the River']
Animals,Muse,2012,2raJLzvNRvipP8cJuchk6U,2012-09-24,Animals,['Muse']
Anna Sun,Walk the Moon,2012,3e0yTP5trHBBVvV32jwXqF,2012-06-19,Anna Sun,['WALK THE MOON']
Another Camden Afternoon,The Stranglers,2012,29RJqd7lqRsvxLfh96GOFg,2012,Another Camden Afternoon,['The Stranglers']
Another Home,Mary Chapin Carpenter,2012,36MaK0ZaKPtrnW9Dd4fOFm,2012-01-01,Another Home,['Mary Chapin Carpenter']
Another Last Goodbye,Aerosmith,2012,5pAj9f6NE1WNmXHm61JaX8,2012-11-06,Another Last Goodbye,['Aerosmith']
Another Love,Tom Odell,2012,5FKnuwsKf7YFpmhA5Wnl0q,2012,Another Love,['Tom Odell']
Another Round,Fat Joe,2012,3Rh3zDYanZFHaeXFT4Asps,2011,Another Round (feat. Chris Brown),"['Fat Joe', 'Chris Brown']"
Another Shot,Lostprophets,2012,,,,
Anthem,Ringo Starr,2012,0Mdjxjn3GmtElirrKfMS46,2012-01-01,Anthem,['Ringo Starr']
Anxiety,Ladyhawke,2012,7GnEAFng5S150NKKE0WOap,2012-01-01,Anxiety,['Ladyhawke']
Any Day Will Do Fine,Michael Kiwanuka,2012,5DODqUKPEEVIS2TslOjz0K,2012-01-01,Any Day Will Do Fine,['Michael Kiwanuka']
Anyhow,Leonard Cohen,2012,53Q4TZtICirlK5tQxxV5LO,2012-03-28,Anyhow,['Leonard Cohen']
Anyone Else,Matt Cardle,2012,2KndZ38hCNVk3Jmb0l6uDC,2013-08-27,Anyone Else,['Matt Cardle']
Anything Could Happen,Ellie Goulding,2012,7C7yqFTM0ncyJ04GIKrxdV,2012-01-01,Anything Could Happen,['Ellie Goulding']
Anything We Want,Fiona Apple,2012,1eBB2ZqS7NAVe6henP56PY,2012-06-18,Anything We Want,['Fiona Apple']
Anywhere In The World,Mark Ronson & Katy B,2012,2UnvZiqXDnx91k0Sy8hmTR,2012-05-15,Anywhere in the World - Radio Edit,"['Mark Ronson', 'Katy B']"
Apocalypse Dreams,Tame Impala,2012,7qU7vhCPKhkDiJYGoboISc,2012-01-01,Apocalypse Dreams,['Tame Impala']
Apocalyptic Love,Slash,2012,1BBZvoRi5KJNVZTM0eLl6B,2012-01-01,Apocalyptic Love,"['Slash', 'Myles Kennedy And The Conspirators']"
Apocryphon,The Sword,2012,0PVS91vWfafu1M7nhgDTCV,2012-10-22,Apocryphon,['The Sword']
Apparition,Frank + Derol,2012,4MfV4vECXJgjHwG7agDn0c,2012-01-01,Apparition,['Frank + Derol']
Applesauce,Animal Collective,2012,0J5POT62uxjTbqNYpjBKvY,2012-09-04,Applesauce,['Animal Collective']
April Fool,Patti Smith,2012,53eJ84ALjlKpU2A2OpohCN,2012-06-01,April Fool,['Patti Smith']
Are We All We Are,Pink,2012,,,,
Are You With Me,Easton Corbin,2012,6z1frj1JhCZhgKzUZUNU31,2012-01-01,Are You With Me,['Easton Corbin']
Arena,B.o.B,2012,1lge9PphTqgL3k7fidOo3j,2012-04-27,Arena (feat. Chris Brown & T.I.),"['B.o.B', 'Chris Brown', 'T.I.']"
Arena Rock Encore With Full Cast,The Cribs,2012,0QPMMzMUwagPV5BxCFmyKD,2012-04-30,Arena Rock Encore With Full Cast,['The Cribs']
Arguing With Thermometers,Enter Shikari,2012,3fTC3Mf88BYUgsiWiOYVr9,2012-01-17,Arguing With Thermometers,['Enter Shikari']
Army Of Me,Christina Aguilera,2012,7v5lw7SXqUaNuDBDSI6F8O,2012-11-09,Army of Me,['Christina Aguilera']
Army Of Two,Olly Murs,2012,5eHBwub0uVM4bnXgzhiBbK,2012-11-26,Army of Two,['Olly Murs']
Around My Way (Freedom Ain't Free),Lupe Fiasco,2012,2Vba5MBCdGqcE57GSiOstv,2012-09-25,Around My Way (Freedom Ain't Free),['Lupe Fiasco']
Artificial Nocturne,Metric,2012,6fPyxBPMICphFl3z9hJqvi,2012-06-12,Artificial Nocturne,['Metric']
As Far as I Remember,Papa Roach,2012,0eGPGood2FTOezv1dMNgW4,2012-10-02,As Far As I Remember,['Papa Roach']
As Fast As You Can,Our Lady Peace,2012,5F0sY6wytQcDy5oLCPzY6u,2012-04-17,As Fast As You Can,['Our Lady Peace']
As Is,Van Halen,2012,6hkEQYEuQrJs8FV1EIptnn,2012-02-07,As Is,['Van Halen']
As Long As You Love Me,Justin Bieber,2012,0pwYLVXVknPSGUQb39cePC,2012-06-15,As Long As You Love Me,"['Justin Bieber', 'Big Sean']"
As Your Friend,Chris Brown,2012,,,,
Ashes and Roses,Mary Chapin Carpenter,2012,,,,
Automatic,Nicki Minaj,2012,4HWOkaS6pRmNODWmS7EGvs,2012-01-01,Automatic,['Nicki Minaj']
Automatic,Dawn Richard,2012,19lNd2q7ro6Gg5krNSLU1m,2012-03-27,Automatic,['Dawn Richard']
Automatic Systematic Habit,Garbage,2012,6v1jIacWXqK1FeSEnadbIt,2012-05-14,Automatic Systematic Habit,['Garbage']
Ayla,The Maccabees,2012,09XGGn9lYHT8Mcsu1oiOJP,2011-01-01,Ayla,['The Maccabees']
Ayy Ladies,Travis Porter,2012,4P6BuLsqtg5uISdE77ypI9,2012-05-28,Ayy Ladies (feat. Tyga),"['Travis Porter', 'Tyga']"
B-Day Song,Madonna,2012,5ikG3xm47oLXYTmkun7uQy,2012-01-01,B-Day Song,"['Madonna', 'M.I.A.']"
Babel,Mumford & Sons,2012,7nhItJUpHMXJURhZNyXHJs,2012-09-25,Babel,['Mumford & Sons']
Baby Come Home,Scissor Sisters,2012,56BOpsTzn68tqrZQsaNHJv,2012-01-01,Baby Come Home,['Scissor Sisters']
Baby Just Break,King Tuff,2012,651zvZej7ZgHEY6oMOWgPT,2012-05-29,Baby Just Break,['King Tuff']
Back,Colt Ford,2012,2JDWDQCzd0K9mI5GEaToA8,2012-08-07,Back (with Jake Owen),['Colt Ford']
Back 2 Life,Sean Kingston,2012,7LrgiRjCm2oKcuJGbmk0pg,2013-09-10,Back 2 Life (Live It Up) (feat. T.I.),"['Sean Kingston', 'T.I.']"
Back For You,One Direction,2012,02O8hDaIJPEUHh9XEj0u76,2012-11-12,Back For You,['One Direction']
Back in Time,Pitbull,2012,3eQlGeyuSibgAGPEJugaDW,2012,"Back in Time - featured in ""Men In Black 3""",['Pitbull']
Back To The Bolthole,The Cribs,2012,2XCsZDApjiSvwDaH4rBsfe,2012-04-30,Back to the Bolthole,['The Cribs']
Back When,Nas,2012,0fsOXxDuvYk5H3a3xK38xf,2012-01-01,Back When,['Nas']
Backseat Freestyle,Kendrick Lamar,2012,3aGibUHhQyBsyumYHylw0K,2012,Backseat Freestyle,['Kendrick Lamar']
Backseat Serenade,All Time Low,2012,47eL0bckn5g3k5VBwgu969,2012-10-09,Backseat Serenade,['All Time Low']
Backtrack,Rebecca Ferguson,2012,3Z9wh46ISEjH6O5recPaCO,2012-10-14,Backtrack,['Rebecca Ferguson']
Bad Apple,Tribes,2012,5K7R3w74GkenAQ9tkDkRZm,2012-01-01,Bad Apple,['Tribes']
Bad Blood,Bastille,2012,2HHiH52OPxe8qyVO7N4uH7,2013-01-01,Bad Blood,['Bastille']
Bad Girls,M.I.A.,2012,7kuS9KLDqaHaQ1YYqUCI2z,2012-01-01,Bad Girls - N.A.R.S. Remix,"['M.I.A.', 'Missy Elliott', 'Nas']"
Bad Mood,The Vaccines,2012,2iK3OY41tNfkz8fOOb7qZm,2012-09-03,Bad Mood,['The Vaccines']
Bad Rain,Slash,2012,7gzoNnmYOzGxshLtX2NONc,2012-01-01,Bad Rain,"['Slash', 'Myles Kennedy And The Conspirators']"
Bad Religion,Frank Ocean,2012,2pMPWE7PJH1PizfgGRMnR9,2012-07-10,Bad Religion,['Frank Ocean']
"Bad, Bad Dream",The Johnstones,2012,3Z5moFRXPnm43Kw79d1qfb,2012-11-13,"Bad, Bad Dream",['The Johnstones']
Bag of Money,Wale and Meek Mill,2012,1BvTqJLeB9ZeGU01gFzJbh,2012-03-23,"Bag of Money (feat. Rick Ross, Meek Mill & T-Pain)","['Wale', 'Rick Ross', 'Meek Mill', 'T-Pain']"
Bait and Switch,The Shins,2012,3kQoWDsseAkLlx2grDjVcm,2012-03-16,Bait And Switch,['The Shins']
Ball,T.I.,2012,4XVfNwP88Hn9kSkXVnxj2S,2012-12-18,Ball (feat. Lil Wayne),"['T.I.', 'Lil Wayne']"
Band Played On,Joe Walsh,2012,5O7olKUv9wk6ZcC8AXCCdQ,2012-01-01,Band Played On,['Joe Walsh']
Bandz A Make Her Dance,Juicy J,2012,0qmYhfRmXWaONXN6ps27PP,2012-12-03,"Bandz A Make Her Dance Remix (feat. French Montana, LoLa Monroe, Wiz Khalifa & B.o.B)","['Juicy J', 'French Montana', 'Lola Monroe', 'Wiz Khalifa', 'B.o.B']"
Banga,Patti Smith,2012,5uttgE8978LpIhR01mmdhN,2012-06-01,Banga,['Patti Smith']
Banjo,Rascal Flatts,2012,47aIa6zbUGsdNn55cyuOug,2012-01-01,Banjo,['Rascal Flatts']
Banjo,Leonard Cohen,2012,26vYZfhC9z5XsRMgtuvzFk,2012-03-28,Banjo,['Leonard Cohen']
Banlieue,Maxïmo Park,2012,,,,
Barbara,Rufus Wainwright,2012,2y2PZ4Ye3xlEUxJNjJdFN2,2012-01-01,Barbara,['Rufus Wainwright']
Bastards,Cancer Bats,2012,5dr0ZiBGmV7qdxvMI4Ow1k,2012-04-24,Bastards,['Cancer Bats']
Battle Born,The Killers,2012,52IbZOn3hSl8OVDms3j78h,2012-09-17,Battle Born,['The Killers']
Battle In Me,Garbage,2012,3zq5uuSjNS0ma7XVpP9OOv,2012-05-14,Battle in Me,['Garbage']
Battle Scars,Lupe Fiasco,2012,1hWYT0w2R0J19rlVkiez7X,2012-09-25,Battle Scars,"['Lupe Fiasco', 'Guy Sebastian']"
BBD,Azealia Banks,2012,735SArN9pqYYzYg0leQ8nm,2014-11-07,BBD,['Azealia Banks']
Be A Boy,Robbie Williams,2012,24xiW9RKl343ETEWJ56nYY,2012-11-05,Be A Boy,['Robbie Williams']
Be Above It,Tame Impala,2012,2Gl1Qdx5Px5kVYe0PQoGI0,2012-01-01,Be Above It,['Tame Impala']
Be Alright,Justin Bieber,2012,0nxvFG50rGXkiGQqOO2MHr,2012-06-15,Be Alright,['Justin Bieber']
Be Careful What You Ask For,Everclear,2012,4QrfXOKl68pLJ3kpXJ82tG,2012-06-26,Be Careful What You Ask For,['Everclear']
Be Happy Children,Paul Weller,2012,2HGSia0EzyQexscfcWMQgl,2012-03-27,Be Happy Children,['Paul Weller']
Be Honest,Jason Mraz,2012,5T0N6xybJyZq34R1807OTt,2012-04-13,Be Honest (feat. Inara George),['Jason Mraz']
Be Mine,Alabama Shakes,2012,4nGil2gSvOVDRFGb1julsJ,2012-04-10,Be Mine,['Alabama Shakes']
Be Somebody,Thousand Foot Krutch,2012,33MnSYLvtOrbj5zwfioEiH,2012-04-17,Be Somebody,['Thousand Foot Krutch']
Be Still,The Fray,2012,3URt4lJQlANOstDBAWQJA7,2012-02-07,Be Still,['The Fray']
Be Still,The Killers,2012,1B5tiGNcOHERcXcBHiL6Xs,2012-09-17,Be Still,['The Killers']
Be Strong,The 2 Bears,2012,2LgUF32UKG7qXxEl44Yuje,2012-01-30,Be Strong,['The 2 Bears']
Beacon,Two Door Cinema Club,2012,0M7EaVx3HZnjfoBfuCmxEL,2012-08-31,Beacon,['Two Door Cinema Club']
