title,artist,hit
Nobody's Perfect,J. Cole Featuring Missy Elliott,1
Both Of Us,B.o.B Featuring Taylor Swift,1
Whistle,Flo Rida,1
The Fighter,Gym Class Heroes Featuring Ryan Tedder,1
Angel Eyes,Love And Theft,1
Cowboys And Angels,Dustin Lynch,1
Wide Awake,Katy Perry,1
As Long As You Love Me,Justin Bieber Featuring Big Sean,1
Pontoon,Little Big Town,1
Lemme See,Usher Featuring Rick Ross,1
How We Do (Party),Rita Ora,1
Ho Hey,The Lumineers,1
My Homies Still,Lil Wayne Featuring Big Sean,1
Want U Back,Cher Lloyd,1
For You,Keith Urban,1
Chasing The Sun,The Wanted,1
Over,Blake Shelton,1
All Around The World,Justin Bieber Featuring Ludacris,1
She's So Mean,matchbox twenty,1
It's Time,Imagine Dragons,1
Glass,Thompson Square,1
Hard To Love,Lee Brice,1
Snap Backs & Tattoos,Driicky Graham,1
Gold On The Ceiling,The Black Keys,1
Blow Me (One Last Kiss),P!nk,1
Take A Little Ride,Jason Aldean,1
Good Time,Owl City & Carly Rae Jepsen,1
Settle Down,No Doubt,1
Dark Side,Kelly Clarkson,1
Amen,Meek Mill Featuring Drake,1
Truck Yeah,Tim McGraw,1
The Wind,Zac Brown Band,1
Thinkin Bout You,Frank Ocean,1
2 Reasons,Trey Songz Featuring T.I.,1
Go Get It,T.I.,1
Runaways,The Killers,1
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",1
Don't Wake Me Up,Chris Brown,1
One More Night,Maroon 5,1
Blown Away,Carrie Underwood,1
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",1
50 Ways To Say Goodbye,Train,1
Promises,NERO,1
Something To Do With My Hands,Thomas Rhett,1
Mercy,Dave Matthews Band,1
That's Why I Pray,Big & Rich,1
The A Team,Ed Sheeran,1
Lovin' You Is Fun,Easton Corbin,1
We Are Never Ever Getting Back Together,Taylor Swift,1
Home,Phillip Phillips,1
Pound The Alarm,Nicki Minaj,1
I Will Wait,Mumford & Sons,1
Adorn,Miguel,1
Come Wake Me Up,Rascal Flatts,1
Fastest Girl In Town,Miranda Lambert,1
Turn On The Lights,Future,1
Yuck!,2 Chainz Featuring Lil Wayne,1
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,1
The One That Got Away,Jake Owen,1
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,1
Lamborghini Angels,Lupe Fiasco,1
Neon,Chris Young,1
Wanted You More,Lady Antebellum,1
Put It Down,Brandy Featuring Chris Brown,1
Oh Love,Green Day,1
Cruise,Florida Georgia Line Featuring Nelly,1
Birthday Song,2 Chainz Featuring Kanye West,1
Gangnam Style,PSY,1
Clique,"Kanye West, Jay-Z, Big Sean",1
Your Body,Christina Aguilera,1
Kiss Tomorrow Goodbye,Luke Bryan,1
Girl On Fire,Alicia Keys Featuring Nicki Minaj,1
Try,P!nk,1
Hello,Karmin,1
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,1
Feel Again,OneRepublic,1
Don't You Worry Child,Swedish House Mafia Featuring John Martin,1
To The World,"Kanye West, R. Kelly",1
I Don't Like,Chief Keef Featuring Lil Reese,1
Creepin',Eric Church,1
Madness,Muse,1
No Worries,Lil Wayne Featuring Detail,1
Swimming Pools (Drank),Kendrick Lamar,1
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",1
Finally Found You,Enrique Iglesias Featuring Sammy Adams,1
Dance For You,Beyonce,1
Dive In,Trey Songz,1
Beautiful,Carly Rae Jepsen Featuring Justin Bieber,1
Take A Walk,Passion Pit,1
Til My Last Day,Justin Moore,1
Radioactive,Imagine Dragons,1
Shinin' On Me,Jerrod Niemann,1
Heart Skips A Beat,Olly Murs Featuring Chiddy Bang,1
Numb,Usher,1
Beer Money,Kip Moore,1
Did It For The Girl,Greg Bates,1
Die Young,Ke$ha,1
Diamonds,Rihanna,1
State Of Grace,Taylor Swift,1
Locked Out Of Heaven,Bruno Mars,1
I Knew You Were Trouble.,Taylor Swift,1
I Cry,Flo Rida,1
Live While We're Young,One Direction,1
Skyfall,Adele,1
Ball,T.I. Featuring Lil Wayne,1
Catch My Breath,Kelly Clarkson,1
Anything Could Happen,Ellie Goulding,1
Hall Of Fame,The Script Featuring will.i.am,1
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,1
Red,Taylor Swift,1
Begin Again,Taylor Swift,1
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1
Babel,Mumford & Sons,1
Southern Comfort Zone,Brad Paisley,1
How Country Feels,Randy Houser,1
Diced Pineapples,Rick Ross Featuring Wale & Drake,1
Every Storm (Runs Out Of Rain),Gary Allan,1
El Cerrito Place,Kenny Chesney,1
Goodbye In Her Eyes,Zac Brown Band,1
Night Train,Jason Aldean,1
My Moment,"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",1
Sweet Nothing,Calvin Harris Featuring Florence Welch,1
Ready Or Not,Bridgit Mendler,1
Whispers In The Dark,Mumford & Sons,1
Va Va Voom,Nicki Minaj,1
Little Things,One Direction,1
Better Dig Two,The Band Perry,1
Don't Stop The Party,Pitbull Featuring TJR,1
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,1
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",1
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,1
Wicked Games,The Weeknd,1
Tornado,Little Big Town,1
Don't Judge Me,Chris Brown,1
Ice,Kelly Rowland Featuring Lil Wayne,1
Just A Fool,Christina Aguilera With Blake Shelton,1
Poetic Justice,Kendrick Lamar Featuring Drake,1
Kiss You,One Direction,1
Young & Gettin' It,Meek Mill Featuring Kirko Bangz,1
I'm Different,2 Chainz,1
Scream & Shout,will.i.am & Britney Spears,1
All I Want For Christmas Is You,Mariah Carey,1
Daylight,Maroon 5,1
Cry,Cassadee Pope,1
When I Was Your Man,Bruno Mars,1
Remember You,Wiz Khalifa Featuring The Weeknd,1
Somebody's Heartbreak,Hunter Hayes,1
Love Sosa,Chief Keef,1
One Of Those Nights,Tim McGraw,1
Guap,Big Sean,1
Rest Of My Life,Ludacris Featuring Usher & David Guetta,1
All Gold Everything,Trinidad James,1
Neva End,Future,1
Over You,Cassadee Pope,1
Two Black Cadillacs,Carrie Underwood,1
Stubborn Love,The Lumineers,1
Merry Go 'round,Kacey Musgraves,1
Who Booty,Jonn Hart Featuring IamSU!,1
Tip It On Back,Dierks Bentley,1
King Wizard,Kid Cudi,1
Representin',Ludacris Featuring Kelly Rowland,1
C'mon,Ke$ha,1
Crying On A Suitcase,Casey James,1
Suit & Tie,Justin Timberlake Featuring JAY Z,1
Sure Be Cool If You Did,Blake Shelton,1
Love Me,Lil Wayne Featuring Drake & Future,1
Pour It Up,Rihanna,1
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,1
I Drive Your Truck,Lee Brice,1
Carry On,fun.,1
Wild For The Night,A$AP Rocky Featuring Skrillex,1
Long Live A$AP,A$AP Rocky,1
Troublemaker,Olly Murs Featuring Flo Rida,1
Battle Scars,Lupe Fiasco & Guy Sebastian,1
If I Didn't Have You,Thompson Square,1
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics",1
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,1
Wagon Wheel,Darius Rucker,1
Demons,Imagine Dragons,1
Give It All We Got Tonight,George Strait,1
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,1
Harlem Shake,Baauer,1
Stay,Rihanna Featuring Mikky Ekko,1
Started From The Bottom,Drake,1
Mirrors,Justin Timberlake,1
One Way Or Another (Teenage Kicks),One Direction,1
Feel This Moment,Pitbull Featuring Christina Aguilera,1
Sail,AWOLNATION,1
Downtown,Lady Antebellum,1
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,1
Loveeeeeee Song,Rihanna Featuring Future,1
R.I.P.,Young Jeezy Featuring 2 Chainz,1
Mama's Broken Heart,Miranda Lambert,1
Pirate Flag,Kenny Chesney,1
Get Your Shine On,Florida Georgia Line,1
Bugatti,Ace Hood Featuring Future & Rick Ross,1
Dope,Tyga Featuring Rick Ross,1
Just Give Me A Reason,P!nk Featuring Nate Ruess,1
I Love It,Icona Pop Featuring Charli XCX,1
Power Trip,J. Cole Featuring Miguel,1
Love And War,Tamar Braxton,1
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,1
I Can Take It From There,Chris Young,1
Alive,Krewella,1
Hold On,Alabama Shakes,1
Heart Attack,Demi Lovato,1
22,Taylor Swift,1
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1
