title,artist,date,hit,track_id,release_date,spotify.name,spotify.artists
Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,2012-02-04,1,54Y4vzwLZtkUnXeltlecq5,2012-08-28,Moves Like Jagger / Jumpin' Jack Flash (Glee Cast Version),['Glee Cast']
You Gonna Fly,Keith Urban,2012-02-04,1,5B25Jpgu62IX8w1YtLibuA,2010-01-01,You Gonna Fly,['Keith Urban']
Glad You Came,The Wanted,2012-02-04,1,3AGOgQzp0YcPH41u9p7dOp,2012-01-01,Glad You Came,['The Wanted']
Marry The Night,Lady Gaga,2012-02-04,1,1k18nxjYj8R5iz82Ap7GEY,2011-01-01,Marry The Night,['Lady Gaga']
A Woman Like You,Lee Brice,2012-02-04,1,3oyMHCAAcnWFdcGuVgwfhd,2012-04-24,A Woman Like You,['Lee Brice']
Lonely Boy,The Black Keys,2012-02-04,1,5G1sTBGbZT5o4PNRc75RKI,2011-12-06,Lonely Boy,['The Black Keys']
You The Boss,Rick Ross Featuring Nicki Minaj,2012-02-04,1,24XPxbzGwOlPKf1pdf1ZtW,2011-01-01,You The Boss,"['Rick Ross', 'Nicki Minaj']"
Levels,Avicii,2012-02-04,1,5UqCQaDshqbIk3pkhy4Pjg,2011-10-31,Levels - Radio Edit,['Avicii']
The First Time Ever I Saw Your Face,Glee Cast,2012-02-04,1,1Mo9G5t3kg2gF0xZfMkiKT,2021-02-11,The First Time Ever I Saw Your Face (Glee Cast Version),['Glee Cast']
I'm Gonna Love You Through It,Martina McBride,2012-02-04,1,4GwbSrCJFRze2tK4H12Zew,2011-01-01,I'm Gonna Love You Through It,['Martina McBride']
I Won't Give Up,Jason Mraz,2012-02-04,1,53QF56cjZA9RTuuMZDrSA6,2012-04-13,I Won't Give Up,['Jason Mraz']
T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,2012-02-04,1,5sn8kTcYEFZ0QcnYKEi9Qc,2011-01-01,T.H.E (The Hardest Ever),"['will.i.am', 'Mick Jagger', 'Jennifer Lopez']"
Reality,Kenny Chesney,2012-02-04,1,0X0zDB7RqpWOIwCHGr2Whu,2010-09-28,Reality,['Kenny Chesney']
Home,Dierks Bentley,2012-02-04,1,6q5nAr2JniAHj1gKheejE0,2012-01-01,Home,['Dierks Bentley']
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,2012-02-04,1,7kbgzSYR7X9FkzIeUFkviQ,2006-09-29,It's Going Down,"[""Young Jeezy 'presents'""]"
Party,Beyonce Featuring Andre 3000,2012-02-04,1,42qh86p7TLXyumxSHn65kc,,,
The Trouble With Girls,Scotty McCreery,2012-02-04,1,0Yvyj5YkjSBNgD4Ai0clSG,2011-01-01,The Trouble With Girls,['Scotty McCreery']
Gotta Have It,Jay Z Kanye West,2012-02-04,1,5Pt83OUaK3K9C2if4C5JOk,2011-08-08,Gotta Have It,"['JAY-Z', 'Kanye West']"
Bait A Hook,Justin Moore,2012-02-04,1,6cAxSUPzHyywECgGSvoLyf,2011-01-01,Bait A Hook,['Justin Moore']
Love On Top,Beyonce,2012-02-04,1,1z6WtY7X4HQJvzxC4UgkSf,,,
Shake It Out,Florence + The Machine,2012-02-04,1,4lY95OMGb9WxP6IYut64ir,2011-01-01,Shake It Out,['Florence + The Machine']
Drive By,Train,2012-02-04,1,0KAiuUOrLTIkzkpfpn9jb9,2012-04-17,Drive By,['Train']
Lights,Ellie Goulding,2012-02-04,1,7gUpO6td4OOnu0Lf9vhcIV,2010,Lights - Single Version,['Ellie Goulding']
Storm Warning,Hunter Hayes,2012-02-04,1,71DDK14XVxkXLmG3AVi1BP,2011,Storm Warning,['Hunter Hayes']
Amen,Edens Edge,2012-02-04,1,0cunAi5FhuVTMMIE9XfqfP,2012-01-01,Amen,['Edens Edge']
Kyoto,Skrillex Featuring Sirah,2012-02-04,1,3FUZpoj9VV0sgc8RqbS3xQ,2011-12-27,Kyoto (feat. Sirah),"['Skrillex', 'Sirah']"
Summer Nights,Glee Cast,2012-02-04,1,3yoQUT0qlE5Hzd2tgKu4nm,2012-11-06,Summer Nights (Glee Cast Version),['Glee Cast']
We Are Young,fun. Featuring Janelle Monae,2012-02-04,1,7a86XRg84qjasly9f6bPSD,2012-02-21,We Are Young (feat. Janelle Monáe),"['fun.', 'Janelle Monáe']"
Countdown,Beyonce,2012-02-04,1,3axkNosdVQLZiq1HakuGhc,,,
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012-02-04,1,0z9UVN8VBHJ9HdfYsOuuNf,2012-01-01,Safe & Sound - from The Hunger Games Soundtrack,"['Taylor Swift', 'The Civil Wars']"
Round Of Applause,Waka Flocka Flame Featuring Drake,2012-02-04,1,5ORf8BZMbq4xN9kiumrPcQ,2012-06-08,Round of Applause (feat. Drake),"['Waka Flocka Flame', 'Drake']"
Camouflage,Brad Paisley,2012-02-04,1,6hVgzcyMmjNKaJn5VRZX3H,2011-05-23,Camouflage,['Brad Paisley']
Talk That Talk,Rihanna Featuring Jay-Z,2012-02-04,1,57mKcbEq7nMqtJ4gqJvWcp,2011-11-19,Talk That Talk,"['Rihanna', 'JAY-Z']"
Where I Come From,Montgomery Gentry,2012-02-04,1,10ps1I1sIMRNZW11eceN7W,2011-10-18,Where I Come From,['Montgomery Gentry']
Dancin' Away With My Heart,Lady Antebellum,2012-02-04,1,61Y7PmzhuL79y87aS9nesX,2011-09-13,Dancin' Away With My Heart,['Lady A']
Don't Stop (Color On The Walls),Foster The People,2012-02-04,1,4HRa9ZWcmZ8JD7UySPu0wT,2011-05-23,Don't Stop (Color on the Walls),['Foster The People']
Mr. Wrong,Mary J. Blige Featuring Drake,2012-02-04,1,2w9K8zyrxcAwRKRti0BvFa,2011-01-01,Mr. Wrong,"['Mary J. Blige', 'Drake']"
Love's Gonna Make It Alright,George Strait,2012-02-04,1,1blSBtrZgDJIWQl0BlAyov,2011-01-01,Love's Gonna Make It Alright,['George Strait']
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,2012-02-04,1,3Osd3Yf8K73aj4ySn6LrvK,2011-08-08,No Church In The Wild,"['JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream']"
Part Of Me,Katy Perry,2012-03-03,1,1nZzRJbFvCEct3uzu04ZoL,2012-03-12,Part Of Me,['Katy Perry']
I Will Always Love You,Whitney Houston,2012-03-03,1,4eHbdreAnSOrDDsFfc4Fpm,1992-11-17,I Will Always Love You,['Whitney Houston']
Starships,Nicki Minaj,2012-03-03,1,1oHNvJVbFkexQc0BpQp7Y4,2011-01-01,Starships,['Nicki Minaj']
Turn Up The Music,Chris Brown,2012-03-03,1,1RMRkCn07y2xtBip9DzwmC,2012-07-03,Turn Up the Music,['Chris Brown']
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,2012-03-03,1,2tUBqZG2AbRi7Q0BIrVrEj,1987-06-02,I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston']
What Makes You Beautiful,One Direction,2012-03-03,1,4cluDES4hQEUhmXj6TXkSo,2012-05-25,What Makes You Beautiful,['One Direction']
Greatest Love Of All,Whitney Houston,2012-03-03,1,6yJxCltgtmGxIgKOS6ndnu,1985-02-14,Greatest Love of All,['Whitney Houston']
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,2012-03-03,1,2woCC5hiuPTDAonxhEojP0,2012-01-01,Give Me All Your Luvin',"['Madonna', 'Nicki Minaj', 'M.I.A.']"
Wild Ones,Flo Rida Featuring Sia,2012-03-03,1,1NpW5kyvO4XrNJ3rnfcNy3,2012-06-22,Wild Ones (feat. Sia),"['Flo Rida', 'Sia']"
How Will I Know,Whitney Houston,2012-03-03,1,5tdKaKLnC4SgtDZ6RlWeal,1985-02-14,How Will I Know,['Whitney Houston']
Runaway Baby,Bruno Mars,2012-03-03,1,5MMLS3xm12D7N26xlfFApr,2010-10-05,Runaway Baby,['Bruno Mars']
Princess Of China,Coldplay Featuring Rihanna,2012-03-03,1,4HXOBjwv2RnLpGG4xWOO6N,2011-10-24,Princess of China,"['Coldplay', 'Rihanna']"
Sorry For Party Rocking,LMFAO,2012-03-03,1,48kwdkeHEJEuMzcKklPv5b,2011-01-01,Sorry For Party Rocking,['LMFAO']
Banjo,Rascal Flatts,2012-03-03,1,47aIa6zbUGsdNn55cyuOug,2012-01-01,Banjo,['Rascal Flatts']
Over You,Miranda Lambert,2012-03-03,1,3fDsErbmOD3TuaSDuxSXav,2011-11-01,Over You,['Miranda Lambert']
Rumour Has It,Adele,2012-03-03,1,2A73XBDBQgmdXO8VsXPWIs,2011-01-24,Rumour Has It,['Adele']
Mirror,Lil Wayne Featuring Bruno Mars,2012-03-03,1,5hUYsaOyMY32yjRXeuQwGj,2011-08-29,Mirror,"['Lil Wayne', 'Bruno Mars']"
Drink On It,Blake Shelton,2012-03-03,1,7haN4XreV4WkoBQmkYM709,2011-07-11,Drink on It,['Blake Shelton']
Feel So Close,Calvin Harris,2012-03-03,1,1gihuPhrLraKYrJMAEONyc,2012-10-29,Feel So Close - Radio Edit,['Calvin Harris']
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",2012-03-03,1,7sjwaBQ6M3aVigYfBjm1sL,2011-05-23,Ima Boss (feat. Rick Ross),"['Meek Mill', 'Rick Ross']"
Better Than I Used To Be,Tim McGraw,2012-03-03,1,0MT21PlGXvd67TNk3ski6c,2012-01-24,Better Than I Used To Be,['Tim McGraw']
When I'm Gone,Wiz Khalifa,2012-03-03,1,0prF3F4FoKvxBObaeXLVHv,2011-03-29,When I'm Gone,['Wiz Khalifa']
Scary Monsters And Nice Sprites,Skrillex,2012-03-03,1,4rwpZEcnalkuhPyGkEdhu0,2010-12-21,Scary Monsters and Nice Sprites,['Skrillex']
Stupid Hoe,Nicki Minaj,2012-03-03,1,13VDHbpoKlRhtgUaWTE2Ld,2011-01-01,Stupid Hoe,['Nicki Minaj']
I Will Always Love You,Glee Cast,2012-03-03,1,0bL8hWpF9KH2QlvLgDJtYM,2012-08-28,I Will Always Love You (Glee Cast Version),['Glee Cast']
Somethin' 'Bout A Truck,Kip Moore,2012-03-03,1,6Ymvlzom4TQeoKqAWsZRD8,2012-01-01,Somethin' 'Bout A Truck,['Kip Moore']
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,2012-03-03,1,3dvynJHFt37j6R8CIIEZh5,2011-08-26,I Can Only Imagine (feat. Chris Brown & Lil Wayne),"['David Guetta', 'Chris Brown', 'Lil Wayne']"
Stereo Hearts,Glee Cast,2012-03-03,1,2M0627dznvRUfgc6jp7cst,2021-02-11,Stereo Hearts (Glee Cast Version),['Glee Cast']
Bangarang,Skrillex Featuring Sirah,2012-03-03,1,6VRhkROS2SZHGlp0pxndbJ,2011-12-27,Bangarang (feat. Sirah),"['Skrillex', 'Sirah']"
Drank In My Cup,Kirko Bangz,2012-03-03,1,3m8CQnnfJJp4eQMWWl3zay,2011-09-16,Drank in My Cup,['Kirko Bangz']
You Don't Know Her Like I Do,Brantley Gilbert,2012-03-03,1,4WnY4W5KrqglCdIus8X9Bo,2010,You Don't Know Her Like I Do,['Brantley Gilbert']
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,2012-03-03,1,4grUGQeAfNs6yQOdgEkncM,2010-12-06,Raise Your Weapon,['deadmau5']
Call Me Maybe,Carly Rae Jepsen,2012-03-31,1,3TGRqZ0a2l1LRblBkJoaDx,2012-01-01,Call Me Maybe,['Carly Rae Jepsen']
Good Girl,Carrie Underwood,2012-03-31,1,20DfkHC5grnKNJCzZQB6KC,2012-05-01,Good Girl,['Carrie Underwood']
