"maybe","","","","","","smile","wave","it'll","okay","maybe","","","it'll","cool","just","friends","without","","brings","start","saying","things","yeah","hurt","hurt","yeah","things","","never","take","back","tried","hard","just","","broke","guess","things","meant","last","much","","tonight","love","like","goodbyes","goodbyes","just","tonight","pretend","alright","alright","hold","","whisper","pretty","lies","just","tonight","love","like","goodbyes","goodbyes","goodbyes","goodbyes","goodbyes","","dark","room","","light","truth","","stay","blind","meantime","","bodies","","","never","seem","communicate","even","though","late","tonight","love","like","goodbyes","goodbyes","just","tonight","pretend","alright","alright","hold","","whisper","pretty","lies","just","tonight","love","like","goodbyes","goodbyes","goodbyes","goodbyes","goodbyes","","goodbyes","goodbyes","goodbyes","goodbyes","goodbyes","","maybe","","","","just","smile","wave","okay","tonight","love","like","goodbyes","tonight","pretend","alright","alright","hold","","whisper","pretty","lies","just","tonight","love","like","goodbyes","goodbyes","goodbyes","goodbyes","goodbyes","","goodbyes","goodbyes","goodbyes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"found","love","","darling","just","dive","right","follow","lead","well","found","girl","beautiful","sweet","","never","knew","someone","waiting","cause","just","kids","fell","love","knowing","give","time","darling","just","kiss","slow","heart","eyes","holding","mine","baby","dancing","dark","arms","barefoot","grass","listening","favourite","song","said","looked","mess","whispered","underneath","breath","heard","darling","look","perfect","tonight","well","found","woman","stronger","anyone","know","shares","dreams","hope","someday","share","home","found","love","carry","just","secrets","carry","love","carry","children","still","kids","love","fighting","odds","know","alright","time","darling","just","hold","hand","girl","","","future","eyes","baby","dancing","dark","arms","barefoot","grass","listening","favorite","song","","dress","looking","beautiful","deserve","darling","look","perfect","tonight","baby","dancing","dark","arms","barefoot","grass","listening","favorite","song","faith","","","know","","angel","person","looks","perfect","deserve","look","perfect","tonight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gave","oxygen","people","breathe","gave","away","money","","even","speak","drove","miles","miles","","honestly","offered","shoulder","just","","upon","gave","constant","shelter","","keep","warm","gave","heartache","return","gave","song","goes","life","","","just","numb","","feels","drown","drink","date","","pills","ones","love","just","left","shelf","farewell","save","someone","else","","save","gave","energy","took","away","pain","cause","human","beings","destined","radiate","drain","line","stand","upon","cause","looks","scars","remain","life","","","just","numb","","feels","drown","drink","date","","pills","ones","love","just","left","shelf","farewell","save","someone","else","","save","","back","rescuing","stranger","just","needed","saving","just","like","","devil","danger","guess","just","nature","","wrong","cause","like","","cause","just","smile","complaining","song","helps","save","someone","else","","save","life","","","just","numb","","feels","drown","drink","date","","pills","ones","love","just","left","shelf","farewell","save","someone","else","","save","blame","someone","else","","save","love","someone","else","","love","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"club","best","place","find","lover","","","friends","table","shots","drinking","fast","talk","slow","come","start","","just","trust","give","chance","","take","hand","stop","","","","jukebox","start","dance","","singing","like","girl","know","want","love","love","handmade","somebody","like","come","","follow","lead","","crazy","mind","","","talk","much","grab","waist","","body","come","","follow","lead","come","come","","follow","lead","love","shape","push","pull","like","magnet","although","heart","falling","love","body","last","night","room","","","sheets","smell","like","every","","discovering","something","brand","","love","body","","","","","love","body","","","","","love","body","","","","","love","body","every","","discovering","something","brand","","love","shape","","week","","story","begin","going","first","date","thrifty","","","","fill","","fill","plate","talk","hours","hours","sweet","sour","family","okay","leave","","taxi","kiss","backseat","tell","driver","make","radio","play","singing","like","girl","know","want","love","love","handmade","somebody","like","come","","follow","lead","","crazy","mind","","","talk","much","grab","waist","","body","come","","follow","lead","come","come","","follow","lead","love","shape","push","pull","like","magnet","although","heart","falling","love","body","last","night","room","","","sheets","smell","like","every","","discovering","something","brand","","love","body","","","","","love","body","","","","","love","body","","","","","love","body","every","","discovering","something","brand","","love","shape","come","baby","come","come","baby","come","come","baby"
"come","come","baby","come","come","baby","come","come","baby","come","come","baby","come","come","baby","come","love","shape","push","pull","like","magnet","although","heart","falling","love","body","last","night","room","","","sheets","smell","like","every","","discovering","something","brand","","love","body","come","baby","come","come","baby","come","love","body","come","baby","come","come","baby","come","love","body","come","baby","come","come","baby","come","love","body","every","","discovering","something","brand","","love","shape","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"took","supermarket","flowers","windowsill","threw","","","","","packed","photo","album","matthew","made","memories","life","loved","took","","well","soon","cards","stuffed","animals","poured","","ginger","beer","sink","","always","told","","","tear","every","time","blink","","pieces","tearing","know","heart","broke","heart","loved","sing","hallelujah","angel","shape","","fell","holding","spread","wings","","","takes","back","","hallelujah","home","fluffed","pillows","made","beds","stacked","chairs","folded","nightgowns","neatly","case","john","says","drive","","hand","cheek","wiped","tear","side","face","hope","","world","cause","know","life","love","life","lived","sing","hallelujah","angel","shape","","fell","holding","spread","wings","","","takes","back","","hallelujah","home","hallelujah","angel","shape","","","","person","become","spread","wings","know","","took","back","said","hallelujah","home","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ain't","","soapbox","","stand","upon","","gave","stage","guitar","song","daddy","told","","","involved","politics","religions","peoples","quarrels","paint","picture","","","scene","know","children","know","means","pass","things","family's","given","just","love","","positivity","change","whole","world","piano","","bass","guitar","grab","beat","away","","just","","","","show","university","degree","lord","knows","everybody's","talking","bout","exponential","growth","stock","market","crashing","portfolios","sitting","song","wrote","sing","love","change","world","moment","know","love","","change","world","moment","know","love","","change","world","moment","","coming","minute","away","","people","marching","streets","today","know","made","love","hate","balanced","razor","blade","paint","picture","","","scene","know","people","following","dreams","just","","remember","life","fittin","jeans","love","","positivity","change","whole","world","piano","","bass","guitar","grab","beat","away","","just","","","","show","university","degree","lord","knows","everybody's","talking","bout","exponential","growth","stock","market","crashing","portfolios","sitting","song","wrote","sing","love","change","world","moment","know","love","","change","world","moment","know","love","","change","world","moment","paint","picture","","","scene","know","future's","hands","","together","","free","spread","love","","positivity","change","whole","world","piano","","bass","guitar","grab","beat","away","","just","","","","show","university","degree","lord","knows","everybody's","talking","bout","exponential","growth","stock","market","crashing","portfolios","sitting","song","wrote","sing","love","change","world","moment","know","love","","change","world","moment","know","love","","change","world","moment","","","","","","","","","","","","",""
"cautious","practise","preach","counting","stacks","counter","fucking","disease","","righteous","practise","teach","counting","blessings","second","knees","","little","high","high","","little","","little","","little","high","","little","high","high","keep","head","water","pride","buried","chest","counting","minutes","seconds","holdin","breath","","sinking","surface","swimming","lungs","losing","vision","religion","holding","tongue","","little","high","high","","little","","little","","little","high","","little","high","high","wanna","","attention","writing","wall","painted","aggression","dripping","call","gonna","learn","lesson","running","time","","little","","little","","little","high","","little","high","high","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"talked","morning","bang","head","bang","head","wall","scared","falling","losing","losing","control","tired","talking","feel","saying","","things","love's","important","wanna","lose","wanna","lose","","feel","like","break","just","wanna","kiss","make","","last","time","touch","like","touch","nobody","","hands","tired","hearing","sorry","kiss","make","kiss","kiss","make","leave","party","cause","want","tired","hearing","sorry","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","","","","","","","","","언젠가는","","","","","","","","","","","","","","","","","","","","마지막은","","feel","like","break","just","wanna","kiss","make","","last","time","touch","like","touch","nobody","","hands","tired","hearing","sorry","kiss","make","kiss","kiss","make","leave","party","cause","want","tired","hearing","sorry","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","","","","","","","","","tell","","work","whole","thing","work","whole","thing","","","","","","그때처럼","tell","","work","whole","thing","work","whole","thing","kiss","kiss","make","touch","like","touch","nobody","","hands","tired","hearing","sorry","kiss","make","kiss","kiss","make","leave","party","cause","want","tired","hearing","sorry","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make","kiss","kiss","make","kiss","kiss","make","kiss","make"
"kiss","kiss","make","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","thousand","nights","","york","london","different","city","every","","yeah","playin","playin","puttin","thousand","lights","","gone","long","gettin","gettin","faded","keepin","stayin","thousand","nights","type","shit","used","dream","yeah","yeah","","bitch","look","like","mona","lisa","mona","lisa","flippin","yacht","ibiza","splash","water","clear","port","hasta","","vista","touchdown","everything","bust","teacher","said","lose","like","","started","makin","moves","showin","love","","","like","light","bulb","cause","bitch","plug","","","know","poppin","bubble","like","soda","poppin","","like","wake","pull","","","millions","","wired","benny","hunnids","still","","pocket","party","","sheeran","homies","still","hold","rocket","cause","hood","make","sense","still","remember","times","","rent","","walk","stadiums","tell","","play","shit","","sing","like","","thousand","nights","","york","london","different","city","every","","yeah","playin","playin","puttin","thousand","lights","","gone","long","gettin","gettin","faded","keepin","stayin","thousand","nights","last","night","played","show","stadium","atlanta","husband","wives","daddies","daughters","cameras","never","thought","","","matter","everything","already","part","plan","remember","damn","","inside","splitter","","night","","stayin","every","city's","holiday","","couch","friend's","","easy","option","","cheaper","lunch","pint","waitress","maybe","leave","number","next","town","","next","continent","","think","gonna","stoppin","anytime","soon","birds","","view","","dues","","mile","queue","need","read","reviews","things","","","invite","world","","thousand","nights","","york","london","different","city","every","","yeah","playin","playin","puttin","thousand","lights","","gone","long","gettin","gettin","faded","gettin","faded","keepin","stayin","thousand","nights",""
"faded","yeah","even","know","much","made","year","used","bein","player","shit","cheated","girlfriend","famous","bitch","hoodie","pull","just","like","reaper","yeah","regular","make","seem","unfair","","laurent","gucci","sweater","","green","moncler","meek","","sheeran","just","like","beatles","yeah","head","","know","flee","","yeah","everyday","seein","ceiline","","yeah","wanna","come","closer","","","regular","person","","","","yeah","","york","london","time","road","long","call","line","","","","titties","done","thousand","likes","","thousand","nights","","york","london","different","city","every","","yeah","playin","playin","puttin","thousand","lights","","gone","long","gettin","gettin","faded","keepin","stayin","thousand","nights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cool","people","better","leave","","cause","happen","friday","night","ridin","solo","yeah","touch","keep","","","","mess","energy","","photos","","antisocial","care","","give","damn","gonna","smoke","","","","bottle","hand","bring","though","","","","","","","talk","straight","give","space","know","brain","music","loud","easin","pain","yeah","yeah","yeah","yeah","touch","touch","touch","came","vibe","yeah","something","something","something","wanna","riot","touch","touch","touch","came","vibe","yeah","","nothing","come","night","straight","touch","touch","touch","came","vibe","yeah","something","something","something","wanna","riot","touch","touch","touch","came","vibe","yeah","","nothing","come","night","yeah","need","room","need","room","standin","","close","might","catch","fumes","might","catch","fumes","zoom","","zoom","pass","wake","right","past","noon","right","past","noon","doomed","occupied","movin","dolo","","yeah","hennessy's","drownin","issues","drown","right","leave","give","just","miss","yeah","thing","","back","just","like","engine","","","","seen","vision","","committed","","lost","inner","space","left","right","place","","name","yeah","yeah","yeah","yeah","touch","touch","touch","came","vibe","yeah","something","something","something","wanna","riot","touch","touch","touch","came","vibe","yeah","","nothing","come","night","straight","touch","touch","touch","came","vibe","yeah","something","something","something","wanna","riot","touch","touch","touch","came","vibe","yeah","","nothing","come","night","touch","yeah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","saturday","night","summer","sundown","come","","rented","hummers","party's","headin","downtown","round","everybody's","lookin","come","wanna","know","middle","","love","just","tryna","figure","everything","","well","cause","just","","help","gettin","","yeah","look","stunning","dear","","question","fear","become","beautiful","people","drop","","designer","clothes","front","","fashion","shows","d'you","d'you","know","inside","world","beautiful","people","champagne","rolled","notes","prenups","broken","homes","surrounded","still","alone","leave","party","beautiful","yeah","beautiful","beautiful","","","drove","hours","last","night","made","nowhere","nowhere","nowhere","","stars","eyes","halfway","night","fazed","lights","flashin","cameras","cause","arms","around","need","care","","well","just","","help","gettin","","yeah","look","stunning","dear","","question","fear","become","beautiful","people","drop","","designer","clothes","front","","fashion","shows","d'you","d'you","know","inside","world","beautiful","people","champagne","rolled","notes","prenups","broken","homes","surrounded","still","alone","leave","party","beautiful","yeah","yeah","beautiful","beautiful","beautiful","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lungs","black","heart","pure","hands","scarred","nights","hair","thin","falling","wrong","places","little","insecure","eyes","crossed","still","blue","bite","nails","tell","truth","","thin","overweight","","","fluctuates","skin","inked","faded","loves","loves","hell","love","anyone","else","","love","love","hell","love","cause","even","love","baby","best","part","lately","","making","sense","","baby","love","overthink","still","forget","lose","phone","place","bets","never","catch","train","time","always","minutes","behind","worries","ain't","seen","nothin","","love","love","hell","love","anyone","else","yeah","yeah","loves","loves","","never","lets","","shows","love","cause","baby","best","part","","lately","","making","sense","baby","love","","","","","","","","","baby","best","part","whoa","lately","","making","sense","","baby","love","","baby","love","yeah","yeah","","baby","love","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"feelin","like","bullet","jumpin","","feelin","like","winner","feel","like","","somethin","somethin","strange","well","jump","back","talk","woman","make","wanna","make","baby","baby","","","woman","","freak","know","doin","","feelin","weak","","wanna","call","fever","baby","","","fire","","damn","","like","pistol","mama","","knees","begging","please","comin","baby","gunnin","yeah","locked","loaded","shoot","shot","tonight","comin","baby","gunnin","pull","trigger","","blow","mind","","leather","rocket","little","foxy","queen","everybody's","watching","pretty","little","thing","baby","tell","fantasy","come","closer","talk","want","white","lines","limousine","whipped","cream","everything","yeah","comin","baby","gunnin","yeah","locked","loaded","shoot","shot","tonight","comin","baby","gunnin","pull","trigger","","blow","mind","comin","baby","comin","baby","gunnin","yeah","locked","loaded","shoot","shot","tonight","comin","baby","gunnin","pull","trigger","","blow","mind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anything","needs","","call","worry","bout","seed","","just","know","cross","cross","cross","cross","fred","anything","needs","","call","worry","seed","","just","know","cross","cross","cross","cross","ain't","messin","","something","different","really","need","understand","nobody's","comin","close","ever","wanna","","around","spent","youth","jumpin","know","fuckin","love","","like","nobody","ever","know","stay","trippin","crazy","","stickin","baby","sure","together","solo","matter","","hear","lady","just","know","ain't","","play","","standin","close","know","","anything","needs","","call","worry","seed","","just","know","cross","cross","cross","cross","cross","cross","cross","nobody's","comin","close","yeah","think","know","cross","anything","needs","","call","cross","worry","seed","","come","","","","think","know","ain't","messin","","","","stand","cross","like","","kung","","death","stare","cross","","runnin","mouth","like","faucet","know","girl","doin","crossfit","","kung","","","","cross","kick","pulling","hair","wear","exhausted","know","gonna","slide","anytime","bitches","talk","shit","keep","","blade","fuckin","","gloss","","","","","","without","better","","respect","queen","better","shit","without","flirt","gotta","respect","hbic","couple","things","need","know","still","wanna","friends","just","know","cross","cross","cross","cross","cross","anything","needs","","call","cross","worry","seed","","nobody's","comin","close","yeah","think","know","cross","anything","needs","","call","cross","worry","seed","","come","","","","think","know","stay","trippin","crazy","","quit","messin","baby","sure","together","solo","matter","","hear","lady","just","know","ain't","","play","","standin","close","know","cross","anything","needs"
"","call","cross","worry","seed","","nobody's","comin","close","yeah","think","know","cross","anything","needs","","call","cross","worry","seed","","come","","","","think","know","cross","anything","needs","","call","cross","worry","seed","","just","know","cross","cross","cross","cross","","yeah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wanna","","full","","eighty","crazy","thinking","bout","","heartbreak","change","maybe","look","ended","good","already","moved","scary","left","wanna","","dancing","somebody","wanna","believe","anything","stop","show","come","start","caring","","walk","away","know","start","caring","","","tried","hurt","word","goodbye","though","took","time","survive","better","side","good","already","moved","scary","left","wanna","","dancing","somebody","wanna","believe","anything","stop","show","come","start","caring","","walk","away","know","start","caring","","bout","","bout","come","show","start","","","come","left","wanna","","dancing","somebody","wanna","believe","anything","stop","show","show","come","come","start","caring","","bout","","walk","away","walk","away","know","know","start","caring","","come","show","walk","away","walk","away","come","show","walk","away","walk","away","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","boom","","","bing","done","knocked","right","feet","baby","","feels","yeah","","mind","somethin","real","somethin","real","","","feels","yeah","","","boom","","","bing","waited","life","somethin","real","done","knocked","right","feet","baby","","feels","","baby","","feels","","jump","crowd","leave","hand","","babe","hand","nothin","gotta","trust","crowd","gotta","land","cloud","babe","baby","","feel","","","","","","know","doin","tried","tell","","loud","tried","tell","","bust","wrap","","leave","thinkin","suicide","rivals","done","went","bought","","title","told","promoters","rider","knockin","boots","backstage","wireless","contagious","like","poison","","baby","","feels","yeah","","mind","somethin","real","somethin","real","","","feels","yeah","","","boom","","","bing","waited","life","somethin","real","done","knocked","right","feet","baby","","feels","","baby","","feels","","used","playboy","","travel","thousand","acres","","told","play","lakers","alright","","","","married","","vegas","","good","health","","alright","love","give","protein","vitamin","yeah","","wigglin","jigglin","","bite","taste","like","cinnamon","","","million","never","ever","treat","like","billie","jean","ain't","nothin","like","anything","ever","really","seen","give","feel","know","mean","baby","","feels","yeah","","","boom","","","bing","done","knocked","right","feet","feels","yeah","baby","","feels","yeah","waited","life","somethin","real","baby","","feels","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"party","wanna","ever","wear","suit","","yeah","wonderin","sneak","back","nobody's","even","lookin","eyes","take","hand","finish","drink","","shall","dance","hell","yeah","know","love","","ever","tell","","make","better","like","think","","party","everyone's","","much","","yeah","always","feel","like","nobody","","wants","","anyway","cause","care","baby","yeah","","things","disappear","making","feel","like","maybe","somebody","","deal","","nights","baby","yeah","","","","","","","cause","care","long","just","hold","near","","take","anywhere","making","feel","like","loved","somebody","","deal","","nights","baby","yeah","","","","","","","party","wanna","tryna","talk","hear","read","lips","rather","kiss","","right","back","people","around","crippled","anxiety","told","s'posed","know","kinda","crazy","cause","really","mind","make","better","like","think","","party","everyone's","","much","","","yeah","yeah","walked","said","sorry","","","think","stay","cause","care","baby","yeah","","things","disappear","yeah","making","feel","like","maybe","somebody","","deal","","nights","baby","yeah","","","","","","","","yeah","yeah","yeah","cause","care","long","just","hold","near","","take","anywhere","making","feel","like","loved","somebody","","deal","","nights","baby","yeah","","","","","","","like","nobody","like","","like","nobody","baby","care","like","nobody","hate","everyone","like","nobody","baby","yeah","cause","care","care","baby","yeah","","yeah","","things","disappear","disappear","making","feel","like","maybe","somebody","maybe","somebody","","deal","","nights","","nights","baby","yeah","","","","","","","","yeah"
"yeah","yeah","cause","care","long","just","hold","near","near","","take","anywhere","anywhere","anywhere","making","feel","like","loved","somebody","loved","somebody","yeah","yeah","yeah","","deal","","nights","baby","yeah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","waited","","away","road","little","today","headin","home","make","baby","smile","hates","thousand","miles","away","pick","dials","yeah","always","lookin","back","sayin","time","around","every","single","night","","sayin","want","another","","need","good","times","","times","yeah","pullin","hair","gettin","","times","just","","back","times","baby","every","time","call","","time","just","want","ain't","diamonds","silver","gold","","replace","man's","love","home","keeps","tellin","","want","money","baby","","know","just","want","time","","want","money","baby","","know","just","want","time","used","around","strapped","cash","attractive","workin","","tryna","make","success","outta","guess","present","mess","remember","bein","tour","stayin","phone","minute","","","comin","home","buildin","family","life","baby","doin","","takin","tone","like","","","thought","made","better","dad's","eyes","busy","stackin","paper","","times","cause","baby","never","know","poppin","right","","come","","ain't","diamonds","silver","gold","","replace","man's","love","home","yeah","keeps","tellin","","want","money","baby","","know","just","want","time","want","love","time","","want","money","baby","","know","just","want","time","just","want","just","want","time","know","baby","know","baby","sorry","away","yeah","","","drive","crazy","gotta","mess","mind","know","baby","know","","sorry","away","yeah","","","drive","crazy","know","know","want","money","baby","","want","money","know","just","want","time","yeah","want","yeah","want","time","","want","money","baby","","want","money","know","just","want","time","time","time","love","love","love","yeah","love","love","love","love","love","love","want","time","yeah","want","time"
"time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"feel","","feel","tonight","feel","fire","mean","turn","light","though","wanna","leave","ever","like","damn","","never","took","","night","stand","make","plans","nothing","","romance","","whiskey","","maybe","later","","turn","lights","keep","","nothing","","rolling","something","kickin","back","","","everything","need","room","smoke","clouds","scent","perfume","friends","club","keep","ringin","phone","","ain't","","nothing","","","ain't","","nothing","leones","","flow","mami","suelo","acobardarme","pero","","tomo","alcohol","","quiero","comentarle","","","","pasó","","desde","","salimo","","","tarde","","besarno","","hasta","hacer","","amor","ahora","tengo","","olor","","","habitación","","","hacemo","","","puede","igualar","parecemo","ficción","cuando","entramo","","acción","esta","peli","","amor","","puede","acabar","","","","pero","","","mata","","","esta","noche","vemo","","","","casa","","","","","","","","gusta","","","atrapa","","","diga","","","","soltar","rolling","something","","kickin","back","","","everything","need","room","smoke","clouds","scent","perfume","friends","club","keep","ringin","phone","","ain't","","nothing","ain't","","nothing","look","take","lead","follow","gonna","playin","hard","","hollered","take","chanel","chanel","shopping","spree","home","girl","right","proper","","want","need","sofa","","spaceship","gotta","land","rover","casa","cruz","casa","blanca","casanova","fashionista","fashion","nova","","persona","outfit","cost","bread","","matching","loafers","cause","suttin","","million","","nothin","","rolling","something","kickin","back","","","everything","need","room","smoke","clouds","scent","perfume","friends"
"club","keep","ringin","phone","brrt","ain't","","nothing","ain't","","nothing","like","damn","","never","took","","night","stand","like","damn","","never","took","","night","stand","want","","","never","took","","night","stand","like","damn","ain't","","nothing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","wait","","home","know","feelin","","happened","want","know","woman","good","soul","","strong","well","","demons","","lean","need","strong","heart","soft","touch","","want","love","","takin","away","shit","","every","","alone","make","better","yeah","arms","wanna","remain","catch","","starts","","","baby","","dance","slowly","darlin","need","need","know","","week","week","week","","","darlin","","worries","judge","cause","feel","thing","whenever","need","need","need","","love","","","","baby","","dance","slowly","love","","","","","","worries","love","","","","baby","","dance","slowly","whenever","need","","","need","cause","find","hard","","words","shit","need","explanation","baby","","strong","","demons","","lean","need","strong","heart","soft","touch","","want","love","","takin","away","shit","","every","","baby","wait","love","ways","arms","wanna","remain","grab","waist","start","","","","baby","","dance","slowly","","darlin","need","need","","know","","week","week","week","","","darlin","","worries","judge","cause","feel","thing","whenever","need","need","need","","babe","love","","","","baby","","dance","slowly","slow","love","","","","","","worries","love","","","","baby","","dance","slowly","whatever","need","need","","","strong","","demons","","lean","need","strong","heart","soft","touch","","want","love","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yeah","born","misfit","grew","miles","town","ipswich","wanted","make","","wished","existence","never","sick","","always","dismissed","quick","stick","singing","stop","rappin","like","christmas","talkin","money","","shiftin","dreams","bigger","just","bein","rich","list","might","insanity","people","call","gifted","face","goin","numb","shit","stuff","mixed","watch","lyrics","songs","might","","twisted","wife","wears","","looks","better","without","lipstick","private","","know","nothin","bout","business","minutes","must","missed","","years","","came","game","","eight","years","remember","name","thought","good","well","better","today","ironic","people","thought","never","great","like","shows","open","","tokyo","delaware","","phones","","wanna","rocked","know","want","","already","","give","song","eminem","cent","club","know","ain't","time","call","","wanna","crack","wanna","paid","bout","time","remember","name","","","know","ain't","time","call","","wanna","crack","wanna","paid","bout","time","remember","name","","","","","","","still","remember","tryna","shop","deal","","","taco","bell","","climbed","billboard","charts","","fate","yeah","became","addict","funny","cause","","appeal","said","time","tell","prevail","","","nine","inch","nails","eyelids","","seein","diamond","sales","like","zales","yeah","without","doubt","means","","skinny","jeans","anything","","splitting","seams","denim","spitting","schemes","really","means","ands","buts","squeezin","sleep","cause","fuckin","dreams","even","deathbed","","feel","like","","time","drop","","","quit","thought","stop","dead","just","popped","head","said","forgot","said","time","call","","","","locked","already","paid","bout","time","remember","name","","","know","ain't","time","call","","","","locked","already","paid"
